46,579
206,579
405,450
568,450
590,293
750,293
43,22
207,22
588,162
749,162
585,578
585,451
752,434
752,305
403,292
403,163
586,150
751,150
570,436
570,308
207,434
207,305
43,578
43,451
225,305
389,305
223,150
223,23
390,577
390,453
691,304
748,304
392,148
392,24
415,437
568,437
225,434
225,306
227,435
389,435
603,435
659,435
224,555
224,470
585,305
601,305
42,146
42,25
207,292
207,271
40,430
40,307
660,435
684,435
452,22
508,22
403,118
403,62
517,305
569,305
570,578
570,557
149,150
192,150
43,163
76,162
390,403
390,385
752,493
752,451
585,265
585,209
404,579
426,579
409,22
451,22
315,293
371,293
718,22
751,22
274,579
330,579
95,163
123,163
585,360
585,416
115,150
148,150
225,195
225,223
86,293
142,293
131,450
159,450
268,22
324,22
403,150
432,150
647,304
669,305
585,434
585,417
752,292
752,259
255,150
310,150
335,162
387,162
207,486
207,451
403,419
403,391
752,148
752,113
585,101
585,45
79,150
97,150
478,305
516,305
752,561
752,505
285,450
341,450
641,450
697,450
325,22
376,22
435,293
467,293
227,293
255,293
43,150
70,150
585,341
585,306
207,45
207,101
43,234
44,292
518,162
553,162
570,165
570,216
296,162
314,162
433,579
489,579
63,305
91,305
207,164
207,208
254,162
295,162
207,140
207,102
225,194
225,163
585,359
585,342
570,477
570,452
570,527
570,478
403,305
403,357
318,150
374,150
403,501
403,465
709,147
747,147
570,147
570,100
348,450
387,450
670,305
690,305
751,163
752,226
654,579
672,579
685,435
723,435
390,378
390,360
517,22
569,22
585,118
585,102
92,305
146,305
490,579
530,579
225,292
225,261
434,150
490,150
41,434
67,435
403,523
403,551
145,162
173,162
418,293
434,293
506,150
569,149
256,293
304,293
673,22
717,22
189,293
206,292
224,22
264,22
570,217
570,265
65,293
83,293
486,162
506,162
698,579
751,579
752,100
752,44
245,450
284,450
531,579
569,578
390,244
390,272
44,451
110,450
436,162
462,162
167,450
202,450
143,293
183,293
403,552
403,578
752,258
752,227
227,579
269,579
405,162
434,162
403,44
404,22
585,24
585,44
224,150
254,150
111,450
130,450
124,435
180,435
390,225
390,207
43,183
43,233
181,435
206,435
604,22
644,22
412,305
468,305
752,43
752,23
403,119
403,149
536,293
566,293
570,289
570,266
225,451
225,469
588,450
627,450
390,358
390,326
207,534
207,578
207,44
207,23
586,435
601,435
207,270
207,231
228,162
253,162
570,24
570,70
752,578
752,562
585,163
585,208
207,533
207,487
41,305
62,305
316,162
334,162
403,436
403,420
698,450
733,450
225,260
225,224
591,579
619,579
615,304
657,305
227,450
244,450
403,390
403,358
390,434
390,404
585,148
585,119
724,435
751,435
389,163
390,188
734,450
750,450
75,435
123,435
585,291
585,266
331,579
377,579
147,305
189,305
375,150
391,150
673,579
697,579
570,84
570,99
390,189
390,206
508,293
535,293
207,230
207,209
45,293
61,293
638,579
653,579
225,577
225,556
190,305
206,305
588,22
603,22
620,579
637,579
43,180
43,164
191,162
204,162
